Code,Area,Number of properties 1994,Number of properties 1995,Number of properties 1996,Number of properties 1997,Number of properties 1998,Number of properties 1999,Number of properties 2000,Number of properties 2001,Number of properties 2002,Number of properties 2003,Number of properties 2004,Number of properties 2005,Number of properties 2006,Number of properties 2007,Number of properties 2008,Number of properties 2009,Number of properties 2010,Number of properties 2011,Number of properties 2012,Number of properties 2013,Number of properties 2014,Number of properties 2015,Number of properties 2016,Number of properties 2017,Number of properties 2018,Number of properties 2019,Number of properties 2020
E09000001,City of London,554,547,544,545,540,515,488,475,463,459,441,429,430,429,429,430,430,430,430,430,450,450,440,438,438,456,646
E09000002,Barking and Dagenham,"26,867","26,572","26,281","25,939","25,518","24,727","23,808","22,902","22,490","21,702","20,977","20,457","19,966","19,659","19,461","19,345","19,241","19,173","19,140","19,020","18,430","18,510","18,120","17,922","17,773","17,077","16,352"
E09000003,Barnet,"14,336","13,736","13,639","13,497","13,269","12,820","12,514","12,293","12,037","11,812","11,288","11,147","11,106","11,074","11,051","11,000","11,255","11,202","11,040","11,020","10,980","10,740","10,430","10,017","10,062","9,938","10,397"
E09000004,Bexley,"8,936","8,690","8,544","8,450",17,17,16,16,16,15,0,15,15,13,13,13,13,13,10,10,20,20,0,87,195,207,222
E09000005,Brent,"16,843","16,626","14,693","14,014","12,109","11,676","10,918","10,801","10,409","10,206","9,949","9,720","9,625","11,135","9,792","9,679","9,211","9,115","9,040","8,660","8,670","8,250","8,250","8,292","8,351","8,345","8,231"
E09000006,Bromley,203,170,175,193,111,94,82,93,102,97,0,0,0,0,86,63,37,92,60,60,60,60,60,62,62,62,0
E09000007,Camden,"29,520","29,249","28,969","28,976","28,212","27,678","27,083","26,797","26,007","25,690","25,492","23,921","23,997","23,517","23,707","23,860","23,665","23,596","23,630","23,510","23,510","23,260","23,200","23,075","23,173","23,446","23,226"
E09000008,Croydon,"16,527","16,354","16,247","15,979","15,792","15,648","15,519","15,235","14,993","14,725","14,412","14,237","14,180","14,136","14,043","14,020","14,045","14,024","14,090","14,030","13,990","13,870","13,800","13,660","13,571","13,475","13,418"
E09000009,Ealing,"16,126","15,931","15,797","15,629","15,423","15,204","14,771","14,679","14,698","14,567","13,811","13,595","13,460","13,920","13,364","13,313","13,487","13,060","12,860","12,920","12,570","12,530","12,580","11,913","11,947","11,747","11,643"
E09000010,Enfield,"15,963","15,255","15,004","14,929","14,774","13,577","13,264","13,413","12,824","12,491","12,246","11,723","11,645","11,588","11,578","11,357","11,327","11,482","11,320","10,860","10,670","10,410","10,260","10,075","10,189","10,157","10,692"
E09000011,Greenwich,"33,087","32,416","31,906","31,757","30,922","29,100","28,429","27,599","27,210","26,670","25,904","25,317","25,007","24,703","24,449","24,071","23,793","23,404","22,850","23,100","22,830","22,420","21,840","21,545","21,082","20,883","20,714"
E09000012,Hackney,"40,409","39,820","38,804","38,368","36,269","32,427","29,244","28,607","27,946","26,170","25,025","24,448","23,739","23,590","23,536","23,020","22,912","22,772","22,730","22,810","22,380","22,440","22,160","21,784","21,780","21,723","21,841"
E09000013,Hammersmith and Fulham,"16,603","16,525","16,308","16,117","16,046","15,137","15,264","14,503","14,273","14,003","13,760","13,397","13,299","13,248","13,213","13,144","13,159","13,113","12,950","12,770","12,540","12,380","12,350","12,297","12,227","12,141","12,022"
E09000014,Haringey,"20,256","20,123","19,830","19,728","19,714","19,512","19,416","18,963","18,098","18,094","17,072","16,990","16,757","16,964","16,162","16,344","16,492","16,623","15,910","15,830","15,650","15,440","15,310","15,423","15,097","15,049","15,106"
E09000015,Harrow,"6,956","6,799","6,701","6,645","6,473","6,369","6,229","5,937","5,865","5,284","5,178","5,121","5,103","5,091","5,091","5,089","5,093","4,991","4,970","4,950","4,920","4,880","4,860","4,838","4,813","4,773","4,824"
E09000016,Havering,"13,794","13,514","13,372","13,174","13,012","12,756","12,423","12,131","11,843","11,688","11,283","11,262","11,038","10,967","10,421","10,375","10,305","10,129","10,020","10,050","9,990","9,870","9,740","9,725","9,629","9,298","9,248"
E09000017,Hillingdon,"13,248","12,908","12,761","12,591","12,361","12,121","11,857","11,776","11,673","11,535","11,350","11,150","10,974","10,809","10,661","10,549","10,516","10,479","10,500","10,500","10,240","10,050","9,920","9,937","9,925","10,086","10,188"
E09000018,Hounslow,"17,484","17,060","16,802","16,517","16,215","16,120","15,865","15,091","14,892","14,580","13,879","13,373","12,899","13,176","12,942","13,587","13,490",..,"13,420","13,330","13,270","13,090","13,080","12,921","13,129","13,085","13,178"
E09000019,Islington,"36,902","37,489","37,404","37,010","36,582","35,853","33,020","31,827","31,012","30,439","29,415","28,015","27,448","27,046","26,485","26,372","26,340","26,328","26,260","26,240","26,260","26,050","25,850","25,290","25,009","25,336","25,303"
E09000020,Kensington and Chelsea,"7,927","7,836","7,706","7,629","7,522","7,427","7,366","7,167","7,158","7,102","7,158","7,158","7,158","6,996","6,996","6,996","6,996","6,922","6,870","6,920","6,850","6,810","6,840","6,829","6,790","6,883","6,877"
E09000021,Kingston upon Thames,"5,573","5,546","5,581","5,436","5,349","5,267","5,202","5,138","5,108","5,036","4,972","4,918","4,863","4,869","4,852","4,846","4,846","4,841","4,840","4,840","4,790","4,790","4,790","4,685","4,597","4,613","4,573"
E09000022,Lambeth,"44,531","43,170","42,793","43,488","42,026","40,847","36,878","35,834","35,014","33,872","31,957","30,390","30,189","27,788","27,387","27,602","25,079","25,612","24,980","24,910","24,650","24,220","23,790","23,715","24,179","24,047","24,051"
E09000023,Lewisham,"35,629","35,041","34,623","34,073","33,646","32,948","32,166","31,478","29,993","28,625","27,591","26,565","26,285","26,036","19,907","18,555",..,"15,526","15,360","15,100","14,920","14,720","14,560","14,417","14,227","14,117","14,116"
E09000024,Merton,"9,492","9,242","9,113","8,813","7,755","7,582","7,264","7,052","7,192","6,801","6,624","6,670","6,612","6,406","6,364","6,351",3,4,0,0,0,30,60,55,81,83,83
E09000025,Newham,"24,921","24,647","24,409","24,121","24,001","23,464","22,992","23,143","21,815","21,078","19,899","19,222","18,408","17,958","17,757","17,848","17,697","17,547","16,820","16,720","16,600","16,360","15,960","15,813","15,706","15,397","15,313"
E09000026,Redbridge,"7,322","7,176","6,999","6,851","6,711","6,494","6,351","5,628","5,439","5,319","5,199","4,885","4,994","4,790","4,768","4,944","4,877","5,111","4,680","4,620","4,560","4,510","4,480","4,461","4,445","4,457","4,442"
E09000027,Richmond upon Thames,"7,263","7,135","7,079","7,052","6,813","6,727","6,521",0,30,30,0,87,77,83,50,49,46,0,0,0,0,0,0,0,0,0,0
E09000028,Southwark,"55,803","55,162","54,439","53,363","52,448","51,706","50,903","49,875","48,052","46,887","45,346","43,885","42,275","41,873","41,287","40,618","40,120","39,845","39,780","38,580","39,030","38,690","38,520","38,553","38,489","38,104","38,183"
E09000029,Sutton,"10,036","9,941","9,919","9,753","9,625","9,496","9,293","8,944","8,571","8,226","7,867","7,689","7,507","7,332","6,689","6,571","6,465","6,409","6,330","6,310","6,120","6,010","5,980","5,983","5,875","5,926","6,007"
E09000030,Tower Hamlets,"37,959","37,630","37,444","37,159","34,630","31,242","28,878","27,104","25,876","24,544","23,530","22,341","17,691","15,739","13,138","13,095","12,865","12,502","12,520","12,610","12,420","12,080","11,880","11,692","11,568","11,476","11,477"
E09000031,Waltham Forest,"16,302","15,774","15,508","15,148","14,880","14,504","13,824","13,440","13,258","10,899","10,951","10,446","10,378","10,369","10,408","10,366","10,365","10,365","10,130","10,100","9,930","9,860","9,830","9,743","9,692","9,749","9,653"
E09000032,Wandsworth,"21,922","21,434","20,841","20,453","20,033","19,552","19,010","18,496","18,369","18,096","17,635","17,338","17,298","17,279","17,145","17,143","17,242","17,328","17,050","17,070","17,000","16,900","16,800","16,804","16,800","16,979","16,906"
E09000033,Westminster,"16,294","15,701","15,427","15,224","14,818","14,679","14,148","13,578","13,249","12,963","12,624","12,407","12,338","12,298","12,310","12,322","12,260","12,187","12,240","12,140","12,090","12,040","11,840","11,887","11,869","11,872","11,755"
